employee_id,stadtteil_name,home_lat,home_lon,population_density,residential_score,transport_score,distance_to_company_km,distance_to_station,pt_access_score,nearest_station_id,walking_distance,driving_time_minutes,transit_time_minutes,transit_transfers,commute_group,time_score,convenience_score,access_score,adoption_score,ticket_recommendation
1,Harburg,53.45653299999999,9.981575,5200,1.0,0.7826,27.91,249.8,0.7318,344502380.0,249.8,42.0,101.0,3.0,>60 min,0.2454,0.106,0.7318,0.4034,Optional
2,Barmbek-Nord,53.602737,10.048606,5600,1.0,0.7826,11.99,259.3,0.7232,5211071141.0,259.3,26.0,61.0,2.0,>60 min,0.2602,0.2578,0.7232,0.4589,Recommend Deutschlandticket
3,Lohbrügge,53.509415,10.18526,3200,1.0,0.3478,25.08,61.7,0.9258,6011948549.0,61.7,48.0,162.0,2.0,>60 min,0.093,0.0273,0.9258,0.4277,Optional
4,Billbrook,53.544866000000006,10.071267,3800,0.25,0.5652,18.6,786.0,0.3744,6278409681.0,786.0,42.0,101.0,3.0,>60 min,0.2454,0.106,0.3744,0.2493,Not recommended
5,Groß Flottbek,53.575809,9.886075,2100,1.0,0.087,16.52,424.4,0.5883,5496142271.0,424.4,27.0,97.0,4.0,>60 min,0.0748,0.1158,0.5883,0.3114,Optional
6,Norderstedt-Friedrichsgabe,53.70824200000001,9.981899,2200,1.0,0.1304,1.4,129.8,0.8502,4364655372.0,129.8,3.0,19.0,0.0,≤30 min,0.0048,0.6556,0.8502,0.6107,Recommend Deutschlandticket
7,Rothenburgsort,53.535746,10.048453,4100,1.0,0.6087,19.3,323.0,0.6678,1561629463.0,323.0,47.0,100.0,3.0,>60 min,0.3238,0.1084,0.6678,0.3922,Optional
8,Harburg,53.45145400000001,9.973642,5200,1.0,0.7826,28.51,110.1,0.8715,1710635436.0,110.1,38.0,155.0,3.0,>60 min,0.046,0.0319,0.8715,0.3967,Optional
9,Rotherbaum,53.554532,9.98631,5200,1.0,0.7826,17.01,171.4,0.8072,5257886401.0,171.4,35.0,67.0,2.0,>60 min,0.4008,0.2256,0.8072,0.5111,Recommend Deutschlandticket
10,Winterhude,53.59516,10.007863,4800,1.0,0.6087,12.45,464.7,0.5594,357569529.0,464.7,28.0,66.0,2.0,>60 min,0.2574,0.2307,0.5594,0.3777,Optional
11,Hohenfelde,53.564509,10.021194,5800,1.0,0.6522,15.9,207.1,0.772,1992432368.0,207.1,34.0,78.0,3.0,>60 min,0.2741,0.1767,0.772,0.4527,Recommend Deutschlandticket
12,Lemsahl-Mellingstedt,53.707435,10.126297,1400,0.0,0.0,8.14,529.7,0.5158,10574832469.0,529.7,21.0,256.0,3.0,>60 min,0.0,0.0034,0.5158,0.2237,Not recommended
13,Rahlstedt,53.59067099999999,10.161681,3600,1.0,0.6522,16.67,247.0,0.7344,2594959038.0,247.0,41.0,155.0,3.0,>60 min,0.062,0.0319,0.7344,0.3408,Optional
14,Langenbek,53.467051,9.944201,3400,1.0,0.3043,26.99,380.4,0.6216,5961392026.0,380.4,34.0,166.0,2.0,>60 min,0.0206,0.025,0.6216,0.2814,Not recommended
15,Winterhude,53.596393000000006,9.991703,4800,1.0,0.6087,12.33,396.6,0.6091,1012634707.0,396.6,25.0,58.0,2.0,45–60 min,0.2671,0.2756,0.6091,0.4177,Optional
16,Lokstedt,53.60921999999999,9.960874,4800,1.0,0.4348,11.23,185.2,0.7933,331446888.0,185.2,23.0,74.0,3.0,>60 min,0.1089,0.1931,0.7933,0.4352,Optional
17,Dulsberg,53.574891,10.06082,6800,0.25,0.7391,15.19,308.5,0.68,3372061142.0,308.5,36.0,71.0,2.0,>60 min,0.3782,0.2064,0.68,0.4446,Optional
18,Ottensen,53.544547,9.924269,7500,1.0,0.8261,18.82,46.0,0.9442,5840624547.0,46.0,34.0,103.0,4.0,>60 min,0.1314,0.1014,0.9442,0.4707,Recommend Deutschlandticket
19,Langenbek,53.477417,9.936118,3400,1.0,0.3043,25.93,904.9,0.3227,3529202636.0,904.9,33.0,175.0,2.0,>60 min,0.0135,0.0205,0.3227,0.1494,Not recommended
20,Jenfeld,53.582076,10.118446,4800,1.0,0.5217,15.86,617.8,0.462,357348716.0,617.8,41.0,97.0,3.0,>60 min,0.2552,0.1158,0.462,0.2927,Not recommended
